market_id,created_at,actual_delivery_time,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_store_to_consumer_driving_duration
1.0,2015-01-26 02:09:48,2015-01-26 03:04:48,38,1.0,3,3800,3,800,1800,21.0,18.0,20.0,530.0
1.0,2015-02-07 01:44:26,2015-02-07 02:28:26,38,1.0,1,1800,1,1800,1800,22.0,21.0,20.0,434.0
1.0,2015-01-30 01:43:09,2015-01-30 02:29:09,38,1.0,2,2700,2,1200,1500,16.0,16.0,13.0,456.0
3.0,2015-01-30 19:49:30,2015-01-30 20:29:30,58,2.0,4,3490,3,175,850,16.0,16.0,21.0,298.0
2.0,2015-02-09 20:29:30,2015-02-09 21:09:30,68,5.0,1,1220,1,825,825,21.0,21.0,20.0,835.0
1.0,2015-01-27 18:32:58,2015-01-27 19:09:58,15,4.0,2,595,2,200,295,5.0,1.0,1.0,186.0
4.0,2015-02-07 01:36:34,2015-02-07 02:35:34,38,1.0,4,5500,4,700,1900,117.0,112.0,178.0,588.0
4.0,2015-02-14 03:04:07,2015-02-14 04:11:07,38,1.0,5,5400,3,600,2200,130.0,129.0,230.0,795.0
4.0,2015-02-08 02:50:54,2015-02-08 03:54:54,38,1.0,4,7104,3,751,2191,121.0,119.0,205.0,530.0
3.0,2015-02-12 03:12:08,2015-02-12 03:46:08,4,5.0,5,6200,5,500,1800,34.0,30.0,28.0,86.0
3.0,2015-02-18 04:26:00,2015-02-18 05:11:00,4,5.0,2,2800,2,1000,1800,18.0,15.0,15.0,821.0
3.0,2015-02-15 04:09:59,2015-02-15 04:51:59,4,5.0,4,5800,4,600,2400,33.0,33.0,42.0,179.0
3.0,2015-02-17 21:34:38,2015-02-17 22:06:38,4,5.0,2,2641,2,625,1240,27.0,22.0,24.0,89.0
3.0,2015-02-14 05:34:07,2015-02-14 06:22:07,4,5.0,2,2500,2,600,1900,17.0,13.0,12.0,898.0
3.0,2015-02-06 03:03:15,2015-02-06 03:48:15,4,5.0,3,3300,3,600,1800,38.0,37.0,43.0,648.0
3.0,2015-02-17 01:14:22,2015-02-17 02:17:22,4,5.0,4,5100,4,500,1900,16.0,16.0,26.0,1056.0
3.0,2015-02-01 04:39:28,2015-02-01 05:36:28,4,5.0,4,3500,4,600,1200,20.0,29.0,33.0,887.0
3.0,2015-01-23 00:38:47,2015-01-23 01:16:47,4,5.0,3,3500,3,500,1900,16.0,5.0,5.0,271.0
3.0,2015-01-22 20:31:45,2015-01-22 21:09:45,4,5.0,2,3600,1,1800,1800,21.0,21.0,21.0,469.0
3.0,2015-01-26 22:22:56,2015-01-26 23:14:56,4,5.0,7,9000,7,600,2400,15.0,12.0,11.0,679.0
3.0,2015-02-10 03:05:36,2015-02-10 03:45:36,4,5.0,3,4709,3,1197,1596,34.0,29.0,30.0,551.0
3.0,2015-01-23 21:06:30,2015-01-23 21:52:30,4,5.0,2,2800,2,1000,1800,21.0,23.0,24.0,828.0
3.0,2015-01-25 02:16:56,2015-01-25 03:13:56,4,5.0,10,9800,6,600,1200,39.0,37.0,37.0,723.0
3.0,2015-01-28 03:31:13,2015-01-28 04:20:13,4,5.0,2,2800,2,1000,1800,21.0,23.0,27.0,828.0
3.0,2015-01-31 01:44:15,2015-01-31 02:24:15,4,5.0,2,2800,2,1300,1500,26.0,25.0,24.0,470.0
3.0,2015-01-31 03:10:05,2015-01-31 04:09:05,4,5.0,6,5800,6,500,1500,30.0,31.0,46.0,729.0
3.0,2015-01-24 01:47:46,2015-01-24 02:34:46,4,5.0,6,5500,6,500,1300,35.0,31.0,28.0,663.0
3.0,2015-02-18 02:56:08,2015-02-18 03:40:08,4,5.0,3,3400,3,600,1900,34.0,34.0,36.0,678.0
3.0,2015-02-05 02:17:09,2015-02-05 02:58:09,4,5.0,4,4900,4,600,2400,33.0,33.0,33.0,429.0
3.0,2015-02-14 01:27:19,2015-02-14 02:08:19,4,5.0,3,6000,2,1200,2400,24.0,24.0,21.0,285.0
3.0,2015-02-17 00:11:00,2015-02-17 00:56:00,4,5.0,1,1800,1,1800,1800,11.0,11.0,13.0,715.0
3.0,2015-02-05 20:18:13,2015-02-05 21:05:13,4,5.0,2,3600,2,1200,2400,20.0,20.0,18.0,891.0
3.0,2015-02-04 21:57:23,2015-02-04 22:33:23,4,5.0,1,1800,1,1800,1800,14.0,9.0,9.0,469.0
4.0,2015-02-11 01:07:54,2015-02-11 01:50:54,57,1.0,5,4600,5,600,1200,12.0,13.0,14.0,163.0
3.0,2015-02-15 05:32:36,2015-02-15 06:12:36,4,5.0,2,1600,2,600,1000,13.0,13.0,16.0,382.0
3.0,2015-02-06 22:41:27,2015-02-06 23:19:27,4,5.0,1,1500,1,1500,1500,12.0,14.0,15.0,446.0
3.0,2015-01-29 03:03:49,2015-01-29 03:40:49,4,5.0,4,5200,2,800,1800,35.0,30.0,29.0,406.0
2.0,2015-02-13 03:48:58,2015-02-13 04:32:58,55,2.0,4,2300,3,400,900,32.0,30.0,37.0,555.0
3.0,2015-02-15 02:16:23,2015-02-15 03:00:23,20,4.0,4,3250,4,725,945,29.0,29.0,32.0,456.0
3.0,2015-02-12 02:36:17,2015-02-12 03:20:17,20,1.0,5,2943,4,199,945,20.0,19.0,18.0,491.0
3.0,2015-02-07 02:12:18,2015-02-07 02:57:18,20,1.0,6,3628,5,199,945,34.0,23.0,18.0,691.0
3.0,2015-01-25 02:30:24,2015-01-25 03:27:24,20,1.0,4,2595,4,450,875,25.0,24.0,28.0,924.0
3.0,2015-01-30 02:59:15,2015-01-30 03:45:15,20,1.0,3,2355,3,475,935,23.0,23.0,27.0,512.0
3.0,2015-01-31 02:57:36,2015-01-31 03:36:36,46,1.0,3,1693,3,109,800,61.0,62.0,72.0,388.0
3.0,2015-01-26 02:51:14,2015-01-26 03:30:14,46,1.0,3,1967,3,269,899,41.0,28.0,27.0,749.0
3.0,2015-02-01 01:47:43,2015-02-01 02:28:43,46,1.0,3,2168,3,500,800,58.0,44.0,43.0,785.0
3.0,2015-01-27 00:45:03,2015-01-27 01:30:03,46,1.0,3,1889,3,350,800,14.0,13.0,14.0,587.0
3.0,2015-02-12 02:35:53,2015-02-12 03:12:53,46,1.0,2,1153,2,289,685,51.0,39.0,41.0,696.0
3.0,2015-02-07 01:25:26,2015-02-07 02:02:26,46,1.0,2,1658,2,779,879,32.0,32.0,37.0,178.0
3.0,2015-02-14 02:34:01,2015-02-14 03:16:01,46,1.0,5,3608,5,299,799,57.0,53.0,54.0,517.0
3.0,2015-01-24 03:27:33,2015-01-24 04:06:33,46,1.0,1,978,1,799,799,60.0,52.0,49.0,771.0
3.0,2015-02-05 20:05:59,2015-02-05 20:45:59,46,1.0,2,1706,2,749,789,23.0,23.0,23.0,603.0
3.0,2015-02-07 23:45:40,2015-02-08 00:28:40,46,1.0,2,1150,2,350,800,17.0,13.0,13.0,755.0
3.0,2015-01-24 03:10:14,2015-01-24 03:45:14,46,4.0,3,2600,3,685,800,60.0,59.0,56.0,529.0
3.0,2015-02-07 02:17:38,2015-02-07 02:56:38,46,1.0,2,884,2,199,685,58.0,57.0,60.0,531.0
3.0,2015-02-16 22:09:05,2015-02-16 22:53:05,58,3.0,1,1125,1,975,975,7.0,7.0,7.0,813.0
3.0,2015-02-16 00:30:26,2015-02-16 01:27:26,58,3.0,4,2600,4,150,1325,6.0,6.0,10.0,634.0
3.0,2015-01-22 18:37:17,2015-01-22 19:21:17,58,3.0,1,975,1,975,975,4.0,3.0,4.0,745.0
3.0,2015-01-26 19:55:22,2015-01-26 20:38:22,58,3.0,2,970,2,195,675,3.0,3.0,5.0,651.0
3.0,2015-01-23 05:00:44,2015-01-23 05:43:44,58,3.0,2,970,2,195,675,4.0,5.0,5.0,532.0
3.0,2015-02-11 02:11:15,2015-02-11 02:51:15,58,3.0,5,2475,3,150,975,7.0,8.0,5.0,380.0
2.0,2015-02-18 02:37:10,2015-02-18 03:30:10,46,4.0,4,4800,2,675,1325,8.0,8.0,8.0,834.0
3.0,2015-02-08 04:58:25,2015-02-08 05:40:25,58,3.0,3,1320,3,150,975,7.0,8.0,9.0,338.0
3.0,2015-01-31 23:45:47,2015-02-01 00:26:47,58,3.0,4,1770,4,150,975,2.0,3.0,2.0,384.0
3.0,2015-02-07 20:39:43,2015-02-07 21:22:43,58,3.0,3,3345,3,506,1479,19.0,10.0,4.0,836.0
3.0,2015-01-31 22:15:00,2015-01-31 23:05:00,58,3.0,3,2100,3,150,1325,2.0,2.0,3.0,825.0
3.0,2015-02-14 23:37:41,2015-02-15 00:25:41,58,3.0,4,1825,3,150,675,4.0,2.0,3.0,826.0
3.0,2015-02-03 22:01:36,2015-02-03 22:44:36,58,3.0,1,975,1,975,975,4.0,2.0,3.0,745.0
3.0,2015-02-08 22:50:16,2015-02-08 23:36:16,58,3.0,2,1950,1,975,975,4.0,4.0,4.0,745.0
3.0,2015-02-14 21:53:31,2015-02-14 22:32:31,58,3.0,1,775,1,675,675,4.0,2.0,4.0,399.0
3.0,2015-02-05 01:04:53,2015-02-05 01:53:53,58,3.0,3,2675,3,350,1325,4.0,4.0,4.0,629.0
3.0,2015-02-01 22:14:31,2015-02-01 23:05:31,58,3.0,5,2100,4,150,675,6.0,6.0,7.0,875.0
3.0,2015-02-12 03:34:27,2015-02-12 04:16:27,58,3.0,2,1550,1,675,675,9.0,6.0,6.0,551.0
3.0,2015-01-31 03:38:01,2015-01-31 04:21:01,58,3.0,4,3150,2,350,975,7.0,10.0,10.0,331.0
3.0,2015-01-27 19:17:49,2015-01-27 19:59:49,58,3.0,2,1350,1,675,675,3.0,3.0,2.0,656.0
3.0,2015-02-03 22:06:42,2015-02-03 22:49:42,58,3.0,5,3675,4,175,1325,3.0,3.0,3.0,432.0
3.0,2015-01-24 21:08:29,2015-01-24 21:46:29,58,3.0,1,775,1,675,675,4.0,3.0,1.0,434.0
3.0,2015-02-15 20:51:07,2015-02-15 21:39:07,58,3.0,3,1850,3,350,975,6.0,6.0,7.0,778.0
3.0,2015-01-26 20:18:34,2015-01-26 20:59:34,58,3.0,3,2925,2,675,1125,4.0,4.0,6.0,427.0
3.0,2015-02-17 19:12:06,2015-02-17 19:51:06,58,3.0,2,1425,2,350,975,7.0,6.0,4.0,502.0
3.0,2015-01-29 18:57:00,2015-01-29 19:41:00,58,3.0,3,1575,3,150,975,2.0,2.0,1.0,629.0
3.0,2015-02-05 03:08:33,2015-02-05 04:05:33,58,3.0,5,5925,2,675,1325,8.0,8.0,11.0,807.0
3.0,2015-02-06 04:02:26,2015-02-06 04:48:26,58,3.0,1,875,1,675,675,5.0,5.0,6.0,692.0
3.0,2015-01-22 19:54:02,2015-01-22 20:43:02,58,3.0,9,3850,5,150,675,6.0,4.0,5.0,700.0
4.0,2015-02-18 02:26:21,2015-02-18 03:27:21,60,3.0,6,9350,6,950,2800,108.0,100.0,154.0,776.0
4.0,2015-02-03 02:47:35,2015-02-03 03:50:35,60,3.0,1,1400,1,1400,1400,72.0,72.0,144.0,718.0
4.0,2015-02-11 04:59:01,2015-02-11 05:39:01,60,3.0,1,1400,1,1400,1400,39.0,30.0,34.0,734.0
4.0,2015-01-30 04:12:03,2015-01-30 04:59:03,60,3.0,2,3100,2,300,2800,89.0,81.0,100.0,876.0
4.0,2015-01-24 01:46:26,2015-01-24 02:49:26,60,3.0,6,7110,5,422,1887,112.0,106.0,173.0,750.0
4.0,2015-01-26 20:56:22,2015-01-26 21:36:22,60,3.0,1,1000,1,1000,1000,55.0,84.0,80.0,700.0
4.0,2015-02-14 03:16:07,2015-02-14 04:20:07,60,3.0,4,4150,4,200,1600,126.0,122.0,202.0,984.0
4.0,2015-01-27 01:48:27,2015-01-27 02:30:27,60,3.0,2,3800,1,1900,1900,80.0,109.0,124.0,131.0
4.0,2015-01-22 04:20:54,2015-01-22 04:56:54,60,3.0,2,2200,2,300,1900,69.0,54.0,56.0,641.0
4.0,2015-02-06 03:34:51,2015-02-06 04:13:51,60,3.0,2,2300,2,200,2100,125.0,89.0,130.0,124.0
4.0,2015-02-08 02:07:18,2015-02-08 03:06:18,60,3.0,4,4250,4,300,1600,113.0,106.0,181.0,477.0
4.0,2015-02-12 02:26:21,2015-02-12 03:28:21,60,3.0,6,9250,5,300,2800,105.0,103.0,188.0,106.0
4.0,2015-02-15 03:26:23,2015-02-15 04:31:23,60,3.0,2,2350,2,950,1400,98.0,91.0,181.0,679.0
4.0,2015-02-15 01:47:13,2015-02-15 02:56:13,60,3.0,8,11200,6,950,2100,86.0,83.0,148.0,579.0
4.0,2015-02-01 02:47:41,2015-02-01 03:42:41,60,3.0,2,2350,2,950,1400,90.0,81.0,150.0,259.0
4.0,2015-02-01 02:15:48,2015-02-01 03:10:48,60,3.0,5,5050,4,300,1400,87.0,75.0,127.0,408.0
4.0,2015-01-30 03:44:36,2015-01-30 04:30:36,60,3.0,2,3300,2,1500,1800,117.0,107.0,160.0,267.0
4.0,2015-01-25 04:30:10,2015-01-25 05:32:10,60,3.0,5,8200,5,300,2100,74.0,102.0,107.0,989.0
4.0,2015-02-04 04:44:54,2015-02-04 05:25:54,60,3.0,3,2750,3,300,1500,35.0,38.0,43.0,461.0
4.0,2015-01-23 20:17:17,2015-01-23 20:59:17,60,3.0,2,2133,2,294,1542,84.0,96.0,123.0,465.0
4.0,2015-02-15 02:29:23,2015-02-15 03:33:23,60,3.0,3,2550,3,200,1400,91.0,80.0,159.0,657.0
4.0,2015-02-10 21:41:35,2015-02-10 22:17:35,60,3.0,1,1000,1,1000,1000,34.0,23.0,26.0,734.0
4.0,2015-01-30 21:50:38,2015-01-30 22:37:38,60,3.0,2,2000,2,1000,1000,38.0,32.0,42.0,996.0
4.0,2015-02-05 02:36:09,2015-02-05 03:38:09,60,3.0,3,3850,3,950,1500,96.0,94.0,186.0,229.0
4.0,2015-01-30 19:47:20,2015-01-30 20:52:20,60,3.0,5,5350,5,300,1400,69.0,64.0,143.0,635.0
4.0,2015-01-24 02:27:56,2015-01-24 03:23:56,60,3.0,5,8450,5,950,2800,123.0,117.0,190.0,106.0
4.0,2015-01-25 03:02:25,2015-01-25 04:04:25,60,3.0,3,4450,3,950,2100,101.0,125.0,171.0,797.0
4.0,2015-02-13 03:25:32,2015-02-13 04:20:32,60,3.0,4,4350,4,300,1900,119.0,110.0,181.0,430.0
5.0,2015-02-04 21:33:30,2015-02-04 22:15:30,13,4.0,2,975,2,280,695,5.0,6.0,9.0,546.0
5.0,2015-02-09 00:24:09,2015-02-09 01:09:09,13,4.0,6,2114,3,200,440,12.0,12.0,12.0,547.0
5.0,2015-01-28 22:31:37,2015-01-28 23:16:37,13,4.0,5,1590,4,200,440,3.0,4.0,4.0,641.0
5.0,2015-02-04 23:15:25,2015-02-05 00:00:25,13,4.0,1,990,1,940,940,5.0,4.0,5.0,812.0
5.0,2015-01-31 06:12:45,2015-01-31 06:53:45,13,4.0,4,1309,4,190,659,6.0,7.0,6.0,338.0
5.0,2015-02-14 04:41:13,2015-02-14 05:26:13,13,4.0,2,1120,1,410,410,21.0,10.0,21.0,690.0
5.0,2015-02-13 01:27:32,2015-02-13 02:12:32,13,4.0,3,3137,2,825,1036,29.0,31.0,46.0,301.0
5.0,2015-02-14 23:01:02,2015-02-14 23:43:02,13,4.0,4,1364,4,180,440,11.0,10.0,12.0,523.0
5.0,2015-02-10 19:39:55,2015-02-10 20:22:55,13,4.0,1,990,1,940,940,15.0,9.0,12.0,811.0
4.0,2015-01-30 05:28:05,2015-01-30 06:08:05,45,3.0,5,3355,4,153,1468,41.0,30.0,41.0,395.0
4.0,2015-02-07 02:34:41,2015-02-07 03:42:41,45,3.0,4,2945,3,425,1245,129.0,128.0,261.0,380.0
4.0,2015-02-02 19:01:40,2015-02-02 19:42:40,45,3.0,3,4335,1,1445,1445,26.0,27.0,33.0,458.0
4.0,2015-01-21 19:23:06,2015-01-21 20:18:06,45,3.0,3,2270,3,425,1245,66.0,64.0,132.0,367.0
4.0,2015-02-05 05:14:58,2015-02-05 06:18:58,45,3.0,4,5135,4,600,1745,34.0,35.0,67.0,778.0
4.0,2015-02-16 05:36:28,2015-02-16 06:08:28,45,3.0,2,1745,2,500,1245,35.0,24.0,20.0,514.0
4.0,2015-02-03 00:34:26,2015-02-03 01:25:26,45,3.0,1,1745,1,1745,1745,29.0,27.0,39.0,815.0
4.0,2015-02-10 02:05:46,2015-02-10 02:55:46,45,3.0,5,4120,5,500,1245,81.0,70.0,120.0,360.0
4.0,2015-02-15 06:11:12,2015-02-15 06:58:12,45,3.0,3,2975,3,775,1175,19.0,16.0,11.0,731.0
4.0,2015-01-29 20:03:41,2015-01-29 21:01:41,45,3.0,3,3290,2,600,1345,74.0,74.0,158.0,203.0
4.0,2015-02-10 19:56:55,2015-02-10 21:02:55,45,3.0,9,8830,6,600,1345,75.0,73.0,154.0,633.0
4.0,2015-01-29 05:48:43,2015-01-29 06:35:43,45,3.0,3,2970,3,600,1745,12.0,17.0,15.0,587.0
4.0,2015-02-05 05:52:07,2015-02-05 06:49:07,45,3.0,2,2590,2,1245,1345,18.0,21.0,38.0,776.0
4.0,2015-02-14 22:31:34,2015-02-14 23:13:34,45,3.0,2,2690,1,1345,1345,34.0,31.0,42.0,545.0
4.0,2015-02-03 21:15:36,2015-02-03 21:50:36,45,3.0,3,1970,3,100,1245,43.0,39.0,47.0,396.0
4.0,2015-02-10 18:57:15,2015-02-10 19:43:15,45,3.0,1,1000,1,1000,1000,43.0,40.0,68.0,693.0
4.0,2015-02-12 05:58:57,2015-02-12 06:43:57,45,3.0,2,1700,2,850,850,16.0,11.0,10.0,793.0
4.0,2015-01-26 01:40:45,2015-01-26 02:20:45,45,3.0,6,3700,5,300,850,70.0,97.0,92.0,441.0
4.0,2015-01-28 05:17:25,2015-01-28 06:03:25,45,3.0,2,2095,2,850,1245,25.0,22.0,27.0,776.0
4.0,2015-01-25 21:51:48,2015-01-25 22:26:48,45,3.0,4,3515,4,325,1345,65.0,77.0,37.0,564.0
4.0,2015-02-09 01:30:32,2015-02-09 02:07:32,45,3.0,3,3090,2,600,1245,77.0,61.0,99.0,244.0
4.0,2015-02-08 03:40:34,2015-02-08 04:27:34,45,3.0,1,1245,1,1245,1245,114.0,110.0,175.0,191.0
4.0,2015-02-03 19:14:43,2015-02-03 20:18:43,45,3.0,13,9980,10,100,1345,62.0,58.0,102.0,894.0
4.0,2015-02-14 02:19:13,2015-02-14 03:10:13,45,3.0,2,2170,2,925,1245,116.0,116.0,184.0,268.0
4.0,2015-01-25 02:54:25,2015-01-25 03:47:25,45,3.0,2,2790,2,1345,1445,102.0,123.0,160.0,496.0
4.0,2015-01-22 22:15:36,2015-01-22 22:53:36,45,3.0,2,1545,2,200,1345,24.0,19.0,21.0,542.0
4.0,2015-01-23 05:48:27,2015-01-23 06:32:27,45,3.0,2,2045,2,600,1445,18.0,11.0,16.0,627.0
4.0,2015-02-13 05:04:25,2015-02-13 05:37:25,45,3.0,1,1245,1,1245,1245,55.0,42.0,43.0,531.0
4.0,2015-02-08 19:29:16,2015-02-08 20:06:16,45,3.0,1,1245,1,1245,1245,30.0,26.0,39.0,329.0
4.0,2015-02-18 03:28:46,2015-02-18 04:08:46,45,3.0,6,2490,2,100,1045,102.0,95.0,121.0,385.0
4.0,2015-02-04 05:42:05,2015-02-04 06:25:05,45,3.0,1,925,1,925,925,14.0,16.0,17.0,684.0
1.0,2015-02-09 04:19:32,2015-02-09 05:08:32,68,1.0,1,1245,1,1245,1245,74.0,68.0,96.0,645.0
4.0,2015-02-04 20:26:34,2015-02-04 21:07:34,45,3.0,1,1245,1,1245,1245,76.0,72.0,111.0,465.0
4.0,2015-01-22 05:07:12,2015-01-22 05:43:12,45,3.0,3,3170,3,925,1245,35.0,21.0,22.0,508.0
4.0,2015-02-11 19:48:02,2015-02-11 20:58:02,45,3.0,3,3445,3,925,1345,76.0,77.0,184.0,785.0
4.0,2015-01-24 06:41:46,2015-01-24 07:29:46,45,3.0,4,1700,4,100,775,4.0,6.0,8.0,581.0
4.0,2015-02-04 01:01:46,2015-02-04 01:36:46,45,3.0,1,950,1,950,950,67.0,53.0,56.0,578.0
4.0,2015-02-06 19:16:32,2015-02-06 20:12:32,45,3.0,4,4860,3,925,1345,64.0,64.0,120.0,415.0
4.0,2015-02-17 05:35:49,2015-02-17 06:13:49,45,3.0,1,1245,1,1245,1245,20.0,16.0,15.0,620.0
4.0,2015-02-01 02:21:55,2015-02-01 03:25:55,45,3.0,7,6050,7,600,1175,88.0,74.0,131.0,830.0
4.0,2015-02-03 22:40:51,2015-02-03 23:14:51,45,3.0,1,1345,1,1345,1345,22.0,19.0,18.0,445.0
4.0,2015-02-08 06:31:01,2015-02-08 07:19:01,45,3.0,3,3490,2,600,1445,12.0,10.0,13.0,542.0
4.0,2015-02-12 03:25:53,2015-02-12 04:22:53,45,3.0,6,4415,6,575,1000,101.0,91.0,141.0,795.0
4.0,2015-02-16 04:15:53,2015-02-16 04:51:53,45,3.0,1,1345,1,1345,1345,86.0,73.0,89.0,440.0
4.0,2015-01-26 04:15:41,2015-01-26 04:47:41,45,3.0,2,1670,2,425,1245,41.0,68.0,48.0,190.0
4.0,2015-01-25 04:13:50,2015-01-25 04:56:50,45,3.0,1,1745,1,1745,1745,73.0,108.0,111.0,327.0
4.0,2015-01-23 06:21:17,2015-01-23 07:00:17,45,3.0,3,1345,3,100,1045,12.0,6.0,7.0,443.0
4.0,2015-02-03 20:52:16,2015-02-03 21:27:16,45,3.0,1,1000,1,1000,1000,63.0,55.0,65.0,691.0
4.0,2015-01-25 20:30:04,2015-01-25 21:03:04,45,3.0,3,1575,3,100,1175,67.0,78.0,43.0,416.0
4.0,2015-01-25 06:18:54,2015-01-25 06:54:54,45,3.0,3,2000,2,300,850,17.0,42.0,14.0,407.0
4.0,2015-02-16 02:08:38,2015-02-16 03:08:38,45,3.0,6,3815,5,100,1345,113.0,109.0,194.0,387.0
4.0,2015-02-15 20:58:15,2015-02-15 21:49:15,45,3.0,5,6725,4,1245,1445,46.0,40.0,60.0,628.0
4.0,2015-02-16 04:35:09,2015-02-16 05:09:09,45,3.0,2,2370,2,625,1745,74.0,67.0,73.0,204.0
4.0,2015-01-24 22:13:06,2015-01-24 22:47:06,45,3.0,1,1245,1,1245,1245,39.0,69.0,45.0,508.0
4.0,2015-02-14 02:42:44,2015-02-14 03:44:44,45,3.0,2,3090,2,1345,1745,126.0,123.0,203.0,895.0
4.0,2015-01-30 19:05:26,2015-01-30 20:06:26,45,3.0,3,1975,3,200,925,58.0,44.0,123.0,571.0
4.0,2015-02-16 05:58:24,2015-02-16 06:39:24,45,3.0,2,1450,2,600,850,21.0,10.0,9.0,802.0
4.0,2015-02-11 22:16:32,2015-02-11 22:54:32,45,3.0,2,1525,2,600,925,28.0,25.0,29.0,558.0
4.0,2015-02-04 02:09:29,2015-02-04 02:52:29,45,3.0,3,3215,3,625,1345,102.0,99.0,134.0,338.0
4.0,2015-01-24 00:22:48,2015-01-24 01:13:48,45,3.0,4,4435,3,600,1345,36.0,35.0,34.0,767.0
4.0,2015-02-03 05:46:49,2015-02-03 06:28:49,45,3.0,5,3025,3,200,925,12.0,16.0,15.0,462.0
4.0,2015-02-14 05:40:03,2015-02-14 06:18:03,45,3.0,2,2095,2,850,1245,47.0,42.0,46.0,507.0
4.0,2015-02-08 01:44:58,2015-02-08 02:29:58,45,3.0,4,2870,4,100,1745,110.0,77.0,126.0,440.0
4.0,2015-01-28 05:38:04,2015-01-28 06:22:04,45,3.0,3,3120,3,925,1245,14.0,15.0,16.0,508.0
4.0,2015-02-11 19:48:02,2015-02-11 20:57:02,45,3.0,3,3445,3,925,1345,76.0,78.0,183.0,785.0
4.0,2015-02-04 00:58:23,2015-02-04 01:32:23,45,3.0,2,1845,2,600,1245,58.0,45.0,47.0,464.0
4.0,2015-01-29 19:30:58,2015-01-29 20:41:58,45,3.0,5,5960,5,850,1345,67.0,63.0,158.0,785.0
4.0,2015-02-02 21:21:09,2015-02-02 22:09:09,45,3.0,3,1475,3,200,850,34.0,38.0,64.0,571.0
4.0,2015-02-15 02:39:12,2015-02-15 03:39:12,45,3.0,2,2490,1,1245,1245,97.0,91.0,167.0,478.0
4.0,2015-02-02 00:54:32,2015-02-02 01:46:32,45,3.0,1,1445,1,1445,1445,42.0,42.0,65.0,627.0
4.0,2015-02-08 22:58:13,2015-02-08 23:40:13,45,3.0,3,2945,3,600,1745,39.0,31.0,36.0,730.0
4.0,2015-01-29 23:39:08,2015-01-30 00:33:08,45,3.0,16,11560,5,425,1345,29.0,28.0,32.0,554.0
4.0,2015-02-12 22:16:41,2015-02-12 22:53:41,45,3.0,1,1745,1,1745,1745,32.0,28.0,31.0,545.0
4.0,2015-02-03 03:03:04,2015-02-03 04:02:04,45,3.0,3,3190,3,600,1345,76.0,75.0,153.0,202.0
4.0,2015-02-18 02:21:27,2015-02-18 03:12:27,45,3.0,6,4885,3,300,1245,108.0,106.0,159.0,391.0
4.0,2015-02-01 19:24:17,2015-02-01 20:26:17,45,3.0,8,8125,5,500,1345,23.0,20.0,30.0,985.0
4.0,2015-02-02 05:44:48,2015-02-02 06:27:48,45,3.0,1,1345,1,1345,1345,16.0,24.0,27.0,445.0
